,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
27520,Charlottesville,2013,1,03-30 20:20:00,2013-03-30,20,41,72,26,6,41,72
23379,Reading,2012,1,02-28 23:57:00,2012-02-28,23,46,96,56,3,46,42
33411,Huntsville,2014,1,05-01 20:30:00,2014-05-01,20,52,76,10,6,52,9
33528,Amherst,2010,1,05-12 23:30:00,2010-05-12,23,37,90,7,6,37,0
5380,Phoenix,2008,1,10-05 10:20:00,2008-10-05,10,73,43,7,6,75,35
17299,Orlando,2011,1,12-30 19:00:00,2011-12-30,19,63,78,26,6,63,33
17671,San Francisco,2013,1,12-31 23:50:00,2013-12-31,23,45,76,5,6,48,1
57894,Detroit,2011,1,09-11 22:45:00,2011-09-11,22,66,93,6,6,66,96
52871,Walled Lake,2010,1,08-15 00:10:00,2010-08-15,0,70,93,17,6,75,33
32708,Woodland,2011,1,04-08 23:00:00,2011-04-08,23,36,71,1,6,36,33
45341,Brevard,2009,1,07-15 00:00:00,2009-07-15,0,59,76,5,6,59,40
36695,Grand Bay,2014,1,05-06 20:08:00,2014-05-06,20,81,80,43,6,86,45
18140,Morrison,2012,1,12-04 22:00:00,2012-12-04,22,73,75,34,6,77,56
19598,Anaheim,2009,1,01-31 22:00:00,2009-01-31,22,57,60,0,6,57,31
23902,Portland,2014,1,02-06 13:45:00,2014-02-06,13,19,80,99,1,19,44
23772,Moreno Valley,2014,1,02-05 21:00:00,2014-02-05,21,43,84,5,6,43,36
46471,Hemet,2011,1,07-21 19:45:00,2011-07-21,19,59,42,0,6,59,56
17054,Topeka,2011,1,12-28 22:30:00,2011-12-28,22,37,83,5,6,37,19
12308,Springdale,2012,1,11-05 22:40:00,2012-11-05,22,41,95,77,4,41,47
27805,Punta Gorda,2014,1,03-03 21:00:00,2014-03-03,21,66,83,17,6,66,9
20683,Rochester,2011,1,02-10 07:28:00,2011-02-10,7,10,93,55,5,10,48
56725,Newark,2012,1,08-05 17:50:00,2012-08-05,17,79,89,40,4,86,77
13243,Fort Collins,2012,1,11-08 22:30:00,2012-11-08,22,41,64,3,6,41,24
42654,Wichita,2012,1,06-05 22:09:00,2012-06-05,22,68,86,3,6,68,87
7405,La Crosse,2013,1,11-13 19:30:00,2013-11-13,19,32,75,0,6,32,71
59975,Shelton,2009,1,09-19 19:57:00,2009-09-19,19,59,58,0,6,59,0
47100,Moneta,2009,1,07-24 22:15:00,2009-07-24,22,68,62,5,6,72,11
17630,Pukalani,2013,1,12-31 21:00:00,2013-12-31,21,73,84,41,6,77,1
49304,Snoqualmie,2011,1,07-04 19:30:00,2011-07-04,19,48,69,0,6,48,20
51070,Yakima,2013,1,08-10 09:30:00,2013-08-10,9,84,32,4,6,82,22
48506,Federal Way,2010,1,07-03 10:50:00,2010-07-03,10,68,48,8,6,70,50
27521,North Kingstown,2013,1,03-30 20:20:00,2013-03-30,20,43,61,10,6,43,72
29882,Melbourne,2012,1,04-16 22:04:00,2012-04-16,22,54,93,20,4,54,19
42857,Dateland,2012,1,06-06 22:22:00,2012-06-06,22,86,10,0,6,81,80
11632,Tampa,2013,1,11-03 18:40:00,2013-11-03,18,64,56,0,6,64,0
46081,Beekmantown,2012,1,07-19 22:05:00,2012-07-19,22,48,93,16,6,48,0
15563,Caro,2009,1,01-02 04:05:00,2009-01-02,4,73,79,21,6,77,38
48115,Roseville,2008,1,07-30 10:00:00,2008-07-30,10,86,25,1,6,82,8
